PLR,skypeMetric
0.0,20.066056594229746
0.0,23.37157136599266
0.0,21.613453750848908
0.0,22.166949481664716
0.0,21.078967365965028
0.5,21.76365053325913
0.5,22.51437980607586
0.5,21.862967607546732
0.5,22.032162959943577
0.5,22.1921061713095
3.0,22.577266586148554
3.0,21.357697380584682
3.0,20.974348735806238
3.0,21.590012087067972
3.0,21.66837883822966
5.0,21.832100790462942
5.0,20.572903635238454
5.0,20.790467160151458
5.0,20.450083544847722
5.0,20.52543777001427
10.0,19.076324991237232
10.0,18.382974518815782
10.0,18.608706828309227
10.0,20.252984089973506
10.0,20.534018170547302
0.0,19.523730837854156
0.0,18.042020917122322
0.0,18.150684193330452
0.0,19.053170804011767
0.0,17.984820347316223
0.5,17.539494635731973
0.5,17.99173739240334
0.5,16.983777734530385
0.5,18.364206904072333
0.5,17.363769991341968
3.0,18.375050380184508
3.0,18.682996007497202
3.0,17.83621722633324
3.0,18.75897285303643
3.0,17.14305766291357
5.0,17.382263251755436
5.0,18.71749004984429
5.0,18.95324976955609
5.0,19.279075132342033
5.0,18.286236285531213
10.0,19.6120665988333
10.0,19.738329049530797
10.0,20.176125392919865
10.0,20.639282108820456
10.0,20.14234306131638
0.0,19.339768482527592
0.0,18.349370608620703
0.0,18.317135026653308
0.0,17.741565806169717
0.0,18.950160151611097
0.5,18.935990418429526
0.5,17.999568613334453
0.5,18.760865976831568
0.5,18.4296363717805
0.5,18.183465830796077
3.0,17.721990364673793
3.0,17.94029448025608
3.0,18.26740462407717
3.0,17.202238891638128
3.0,18.1982732527227
5.0,19.34238864048529
5.0,18.83911634026032
5.0,17.920531373827338
5.0,19.671288396203483
5.0,19.760472641195324
10.0,19.1656990320666
10.0,21.45998749432883
10.0,21.232200357556515
10.0,21.35116862628972
10.0,21.26233420267517
0.0,18.025012728233598
0.0,18.21562069131332
0.0,18.003502654013587
0.0,18.306589247130624
0.0,17.987098199468903
0.5,18.257146147795034
0.5,18.734804960715007
0.5,17.68679256395144
0.5,17.156365384495224
0.5,18.261492086258748
3.0,18.273402336488008
3.0,18.097885753638867
3.0,18.331081307742014
3.0,17.899811641031455
3.0,18.09749405833016
5.0,18.10953053030642
5.0,17.412399190712044
5.0,18.38345671585578
5.0,17.524773225647415
5.0,18.982035327057687
10.0,18.84710535364771
10.0,17.78003891542129
10.0,20.929869530285888
10.0,21.02854239920543
10.0,20.322898575042686
0.0,17.704319175786754
