REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 1.968	 1.607	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 2.324	 1.934	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 2.284	 1.892	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 2.005	 1.636	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 2.041	 1.665	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 1.970	 1.608	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-0.wav	 3.386	 3.393	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-0.wav	 3.307	 3.279	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-0.wav	 3.329	 3.311	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-0.wav	 3.312	 3.286	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-0.wav	 3.533	 3.600	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.523	 3.586	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.468	 3.510	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.126	 3.011	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.426	 3.451	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.355	 3.349	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 2.432	 2.055	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 2.765	 2.483	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 2.953	 2.754	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 2.887	 2.656	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 2.465	 2.094	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 2.516	 2.155	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 2.264	 1.871	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 2.311	 1.920	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 2.063	 1.683	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 2.180	 1.789	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 1.988	 1.622	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 2.108	 1.723	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 2.130	 1.743	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 1.853	 1.523	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 1.903	 1.558	 16000	nb
