REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 2.382	 1.998	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 2.695	 2.386	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 2.069	 1.688	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 2.195	 1.803	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 2.075	 1.694	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-0.wav	 2.683	 2.371	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-0.wav	 2.759	 2.474	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-0.wav	 2.800	 2.531	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-0.wav	 2.459	 2.086	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-0.wav	 3.150	 3.045	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.017	 2.848	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.046	 2.890	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.242	 3.182	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 2.841	 2.590	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 2.327	 1.937	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 2.738	 2.445	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 2.639	 2.312	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 2.486	 2.118	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 3.190	 3.106	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 2.970	 2.778	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 2.682	 2.369	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 2.458	 2.085	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 2.841	 2.589	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 2.720	 2.420	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 2.795	 2.525	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 2.110	 1.724	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 2.108	 1.722	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 2.135	 1.747	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-0.wav	 3.219	 3.148	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-0.wav	 3.149	 3.045	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-0.wav	 3.070	 2.926	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-0.wav	 2.778	 2.501	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-0.wav	 2.947	 2.744	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.103	 2.975	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 2.446	 2.070	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.387	 3.394	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.204	 3.126	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.244	 3.186	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 2.742	 2.450	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 2.367	 1.981	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 2.540	 2.184	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 2.802	 2.534	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 2.550	 2.197	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 2.406	 2.025	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 2.044	 1.667	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 2.270	 1.877	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 2.234	 1.841	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 2.307	 1.916	 16000	nb
