REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 1.778	 1.475	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 2.023	 1.650	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 1.560	 1.354	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 2.054	 1.676	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 1.567	 1.357	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 2.042	 1.666	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 1.263	 1.234	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 2.020	 1.648	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 1.500	 1.326	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 2.029	 1.655	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 1.505	 1.328	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 2.036	 1.661	 16000	nb
