PLR ViSQL
3 2.837414
3 3.157867
5 2.404312
5 3.182223
5 2.897819
5 2.922779
5 2.924289
10 2.599063
10 2.041000
10 1.000000
10 1.000000
10 1.000000
