PLR LLR
3 0.012883
3 0.011142
3 0.012642
5 0.012438
5 0.012548
5 0.012787
5 0.012173
5 0.011800
10 0.013967
10 0.013740
10 0.015085
10 0.014708
10 0.015346
